sehir,grup,kosuCinsi,mesafe,pist,siklet,yas,handikap,jokey,tam_salise
Elazig,3_ve_Yukari_Ingilizler,KV_7,1200,Kum,58,6ydk,69,NecmiALTIN,7450
Elazig,3_Yasli_Ingilizler,Maiden,1900,Kum,58,3yde,13,IsaAKYAVUZ,12840
Elazig,3_ve_Yukari_Ingilizler,Handikap_15_H3,2000,Kum,60,4yda,49,HuseyinALTUNKILIC,13361
Istanbul,2_Yasli_Ingilizler,SARTLI_2,1400,Cim,52,2ydd,30,AdemASLAN,8573
Istanbul,3_Yasli_Ingilizler,SARTLI_5,1600,Cim,60,3yde,77,AhmetCELIK,9644
Istanbul,3_ve_Yukari_Ingilizler,KV_8,1900,Cim,58,5yaa,94,HalisKARATAS,11638
Istanbul,4_ve_Yukari_Araplar,Handikap_16_H1,1400,Cim,50,6yaa,45,MustafaKemalKUMBASAR,9278
Istanbul,3_Yasli_Araplar,Maiden,1500,Sentetik,57,3yke,37,MuslumCELIK,10604
Istanbul,3_ve_Yukari_Ingilizler,G_1,1600,Cim,58,4yda,113,AhmetCELIK,9607
Istanbul,3_ve_Yukari_Ingilizler,KV_8_Disi,1200,Cim,60,4ydk,94,GokhanKOCAKAYA,7152
Istanbul,4_ve_Yukari_Araplar,G_3,1500,Sentetik,58,4yka,110,HalisKARATAS,10055
Istanbul,3_Yasli_Araplar,Maiden,1500,Sentetik,58,3ykd,37,AhmetCELIK,10440
Izmir,3_Yasli_Ingilizler,Handikap_16_H2,1300,Cim,58.5,3yae,64,GorkemOZCELIK,7755
Izmir,3_Yasli_Ingilizler,SARTLI_5,1900,Cim,53,3ydd,39,NevzatAVCI,11815
Izmir,4_ve_Yukari_Araplar,KV_7,1900,Cim,61,4yaa,86,OkanGOKCE,12891
Izmir,3_Yasli_Araplar,SARTLI_4,1200,Cim,55,3yad,39,BarisKURDU,7876
Izmir,3_ve_Yukari_Ingilizler,Handikap_16_H2,2400,Cim,51,5yda,40,MuhammedMirBILGIN,15387
Izmir,3_ve_Yukari_Ingilizler,SARTLI_2,2000,Kum,60,4yda,64,NevzatAVCI,13131
Ankara,2_Yasli_Ingilizler,SARTLI_4_Disi,1200,Kum,59,2yad,42,MuslumCELIK,7591
Ankara,3_ve_Yukari_Ingilizler,SARTLI_4,1600,Cim,58,4yda,88,IsmailYILDIRIM,9722
Ankara,3_Yasli_Araplar,SARTLI_4,1300,Kum,57,3yke,56,MehmetAKYAVUZ,9175
